Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
37.014/12,نحو استراتجية لتطوير التربية في البلاد الإسلامية,إيسيسكو,الدارالبيضاء,إيسيسكو,1990,144,سياسة التربية,14564
37/93,تطبيقات الحاسوب التربوية: وقائع الندوة الانظمتها الإيسيسكو بالتعاون مع كلية علوم التربية بالرباط يناير 1987,إيسيسكو,الرباط,إيسيكو,1988,193,التربية والتعليم: استخدام الحاسوب,14565
39/25,تعليم المرأة في الدول الإسلامية,إيسيسكو,الرباط,إيسيسكو,1997,120,قضاياالمراة: التعليم,14566
82-82/13,عبد الهادي بوطالب مختارات من خطبه وكلماته,إيسيسكو,N/A,إيسيسكو,1992,264,مقالات محتلفة,14567
37.014/32,استراتيجية العمل الثقافي الاسلامي في الغرب.,"إيسيسكو,",الرباط.,إيسيسكو.,2001,144,سياسة التربية.,14568
008/27,النمو الثقافة ومشاكله في العالم الإسلامي. أبحاث المائدة المستديرة المنعقدة بجامعة إفريقيا العالمية في 20 من محرم 1418ه الموافق 26 مايو 1997م,إيسيسكوا,الرباط,إيسيسكو,1998,60,الثقافة,14569
39_64/04,الإسلام في المغرب,"إيكلمان, ديل",الدار البيضاء,دار توبقال للتشر,1989,150,الأنثربولوجيا,14570
1/83,عصر الأيديولوجيا,"أيكن, هنري",بيروت,دار الطليعة,1982,203,فلسفة,14571
301.152.4/01,تأثيرات الأيديولوجيا في علم الاجتماع,"أيوب, سمير",بيروت,معهد الانماء العربي,1983,418,علم الإجتماع: الإديولوجيا,14572
297.2/24,تهديب التهديب. المجلد الثاني,"اب حجر العسقلاني, أبو الفضل أحمد بن علي",بيروت,دار الفكر,1968,790,الحديث,14573
1:297/19,تهافت التهافت: انتصارا للروح العلمية وتأسيسا لأخلاقيات الحوار,"اب رشد, أبو الوليد محمد بن احمد",بيروت,مركز دراسات الوحدة العربية,1998,600,فلسفة إسلامية,14574
347.82_64/01,القانون الخاص الجوي المغربي,"ابادير, رفعت",N/A,N/A,1978,350,القانون الجوي,14575
297.417/40 م3,مجموع فتاوي شيخ الإسلام أحمد بن تيمية. مجمل إعتقاد السلف,"ابت تيمية, أبو العباس أحمد",المغرب,المكتب التعليمي السعودي,N/A,471,الفتاوي,14576
953/19,التجارة والملاحة في الخليج العربي في العصر العباسي,"ابراهيم العسكري, سليمان",الكويت,مؤسسة الشراع العربي,1998,258,تاريخ الدول العربية,14577
93:297/58,تاريخ الاسلام السياسي والديني والثقافي والاجتماعي,ابراهيم حسن حسن,القاهرة,مكتبة النهضة المصرية,1983,506,تاريخ الاسلام,14578
159.9/34,سيكولوجية المرأة العاملة,"ابراهيم عبد الفتاح, كاميليا",بيروت,دار النهضة العربية,1984,325,علم النفس,14579
159.923/01,مستوى الطموح والشخصية,"ابراهيم عبد الفتاح, كاميليا",بيروت,دار النهضة العربية,1984,184,علم النفس: الطموح,14580
159.9/17,سيكولوجية النصاب,"ابراهيم ليلة, رزق سند",بيروت,دار النهضة العربية,N/A,344,علم النفس,14581
595.7/01,الحشرات العامة,"ابراهيم, جمعة",حلب,N/A,1986,238,علم الحشرات,14582
59/15,علم الحيوان العام,"ابراهيم, جمعة خليل",حلب,N/A,1986,681,علم الحيوان,14583
595.7/02,علم الحشرات العامة,"ابراهيم, جمعة خليل",حلب,N/A,1987,335,علم الحشرات,14584
335/04,الاجتماع والماركسية,"ابراهيم, عبد الفتاح",بيروت,دار الطليعة,1980,303,الاشتراكية,14585
329.73/02,أوراق من ساحة النضال,"ابراهيم, عبد الله",البيضاء,دار الكتاب,1975,354,الاحزاب السياسية,14586
961/06,صمود وسط الاعصار: محاملة لتفسير تاريخ المغرب الكبير,"ابراهيم, عبد الله",البيضاء,N/A,1976,120,تاريخ شمال إفريقيا,14587
548.0/01,علم الفلزات والبلورات,"ابراهيم, محمود",سوريا,جامعة البعث,1992,352,علم البلورات,14588
35.08/12,المنظمة العربية للعلوم الإدارية: إدارة البحوث والدراسات,"ابراهيم, نجيب اسكندر",عمان,المنظمة العربية للعلوم الإدارة,1985,383,القانون الإداري,14589
35/21,مؤسسات التنمية الادارية العربية أوضاعها الراهنة,"ابشر الطيب, حسن",عمان,المنظمة العربية للعلوم الادارية,1984,108,القانون الاداري,14590
956.93/01,نوادر الزمان في وقائع جبل لبنان,"ابكاريوس, اسكندر بن يعقوب",لندن,رياض الرئيس للكتب,1987,346,تاريخ لبنان,14591
297.417/24 م24,مجموع فتاوي شيخ الإسلام أحمد بن تيمية. الفقه الجزء الرابع: من صلاة أهل الأعذار إلى الزكاة,"ابم تيمية, أبو العباس أحمد",المغرب,المكتب التعليمي السعودي,N/A,400,الفتاوي,14592
61:92_927/01 ج3,عيون الأنبياء في طبقات الأطباء,ابن أبي اصيبعة,بيروت,دار الثقافة,1981,446,طب بيوغرافيا,14593
801.5/40 م1,شرح نهج البلاغة الجامع لخطب ورسائل وحكم أمير المؤمنين أبي الحسن علي بن أبي طالب,ابن أبي الحديد,N/A,دار الرشاد الحديثة,N/A,506,البلاغة العربية,14594
297.915/06,كتاب الصمت وآداب اللسان,"ابن أبي الدنيا, أبو بكر عبد الله بن محمد بن عبيد",بيروت,دار الغرب الإسلامي,1986,745,"الآداب, الأخلاق والفضيلة في الإسلام : آداب اللسان",14598
82-1_أن/47 ج1,ابن الخطيب من خلال كتبه,"ابن أبي بكر التطواني, محمد",تطوان,دار الطباعة المغربية,1954,143,الأدب الأندلسي,14599
809.27/01,كتاب خلق الإنسان,"ابن أبي ثابت, أبو محمد بن ثابت",N/A,مطبعة حكومة الكويت,1955,483,اللغة العربية,14601
801.3/10,كتاب الفرق,"ابن أبي ثابت, ثابت",الرباط,مطبوعات معهد الدراسات والأبحاث للتعريب,1974,193,علم الألفاظ,14602
297.426/01,نهج الكفاح,"ابن أبي طالب, علي",بيروت,المكتبة الثقافية,1980,165,الجهاد : الكفاح,14603
091:52/03,الزيج المأموني الممتحن,"ابن أبي منصور, يحي",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1986,213,مخطوطات: علم الفلك,14604
297.1/07,تنزيه القرآن عن المطاعن,"ابن أحمد, أبو الحسن عبد الجبار",لبنان,دار النهضة الحديثة,N/A,496,القرآن,14605
297.8/16,كتاب مصباح الأنام وجلاء الظلام. ويليه: رسالة فيما يتعلق بأدلة جواز التوسل بالنبي وزيارته (ص) لأحمد بن زيني دحلان,"ابن أحمد, الحبيب علوي",إستانبول,مكتبة الحقيقة,1996,224,الفرق والطوائف الإسلامية,14606
297.455/02,كتاب الخراج,"ابن ابراهيم, أبو يوسف يعقوب",بيروت,دار الشروق,1985,499,الخراج,14607
964/61 ج1,الاعلام بمن حل مراكش وأغمات من الإعلام,"ابن ابراهيم, العباس",الرباط,المطبعة الملكية,1974,420,تاريخ المغرب,14608
964/69 ج9,الإعلام بمن حل مراكش وأغمات من الإعلام,"ابن ابراهيم, العباس",الرباط,المطبعة الملكية,1980,417,تاريخ المغرب,14609
297.9/28,جوانب عن الغزو الفكري المعاصر,"ابن ادريس السماعيلي, أحمد أمين",مكة المكرمة,N/A,1986,252,الإسلام والعلوم والفكر,14610
82-1/75,ديوان ابن الأبار,"ابن الأبار البلنيسي, أبو عبد الله",تونس,الدار التونسية للنشر,1985,471,ديوان شعري,14611
